Species;Site_name;Habitat_type;Sun_irradiance;SLA;Leaf_area;LDMC
Kunzea_pulchella;Mount_Caroline;shrubland;exposed;4.55;92.73;796.88
Kunzea_pulchella;Mount_Caroline;shrubland;exposed;4.13;100.02;883.21
Kunzea_pulchella;Mount_Caroline;shrubland;exposed;4.5;116.98;884.35
Kunzea_pulchella;Mount_Caroline;shrubland;exposed;3.31;72.71;873.02
Kunzea_pulchella;Mount_Caroline;shrubland;exposed;4.12;70.07;876.29
Kunzea_pulchella;Mount_Caroline;shrubland;exposed;3.46;104.37;883.04
Kunzea_pulchella;Mount_Caroline;shrubland;exposed;4.49;91.56;886.96
Kunzea_pulchella;Mount_Caroline;shrubland;exposed;4.74;104.26;901.64
Acacia_lasiocalyx;Kokerbin_Rock;shrubland;exposed;4.52;739.14;583.87
Acacia_lasiocalyx;Kokerbin_Rock;shrubland;exposed;4.04;1279.36;641.26
Acacia_lasiocalyx;Kokerbin_Rock;shrubland;exposed;4.57;759.39;635.32
Acacia_lasiocalyx;Kokerbin_Rock;shrubland;exposed;3.61;864.95;564.77
Acacia_lasiocalyx;Kokerbin_Rock;shrubland;exposed;3.56;711.88;737.66
Acacia_lasiocalyx;Kokerbin_Rock;shrubland;sheltered;3.43;588.81;778.58
Acacia_lasiocalyx;Kokerbin_Rock;shrubland;exposed;3.48;881.03;825.29
Acacia_lasiocalyx;Kokerbin_Rock;shrubland;exposed;3.17;998.29;771.79
Acacia_lasiocalyx;Kokerbin_Rock;shrubland;exposed;3.9;860.2;722.15
Acacia_lasiocalyx;Kokerbin_Rock;shrubland;exposed;4.42;1296.32;726.82
Acacia_lasiocalyx;Kokerbin_Rock;woodland;sheltered;4.12;1087.88;629.17
Acacia_lasiocalyx;Kokerbin_Rock;woodland;sheltered;3.54;689.18;868.87
Acacia_lasiocalyx;Kokerbin_Rock;woodland;sheltered;5.63;1066.97;609.79
Acacia_lasiocalyx;Kokerbin_Rock;woodland;sheltered;3.85;773.62;772.66
Acacia_lasiocalyx;Kokerbin_Rock;woodland;sheltered;3.96;1133.81;674.84
Cheilanthes_austrotenuifolia;Kokerbin_Rock;shrubland;exposed;4.39;75.58;851.49
Cheilanthes_austrotenuifolia;Kokerbin_Rock;shrubland;exposed;17.94;78.92;785.71
Cheilanthes_austrotenuifolia;Kokerbin_Rock;herbfield;exposed;18.17;279.84;719.63
Cheilanthes_austrotenuifolia;Kokerbin_Rock;shrubland;exposed;21.46;545.2;765.06
Cheilanthes_austrotenuifolia;Kokerbin_Rock;shrubland;exposed;85.18;1328.83;838.71
Cheilanthes_austrotenuifolia;Kokerbin_Rock;shrubland;exposed;24.75;925.54;831.11
Cheilanthes_austrotenuifolia;Kokerbin_Rock;herbfield;exposed;22.61;343.63;873.56
Cheilanthes_austrotenuifolia;Kokerbin_Rock;herbfield;exposed;9.03;149.85;813.73
Cheilanthes_austrotenuifolia;Kokerbin_Rock;shrubland;exposed;58.94;377.21;780.49
Cheilanthes_austrotenuifolia;Kokerbin_Rock;shrubland;exposed;41.47;348.36;875
Eucalyptus_loxophleba;Kokerbin_Rock;woodland;sheltered;3.86;2472.77;734.13
Eucalyptus_loxophleba;Kokerbin_Rock;woodland;sheltered;3.57;2202.72;725.01
Eucalyptus_loxophleba;Kokerbin_Rock;woodland;sheltered;3.42;1862.48;842.82
Eucalyptus_loxophleba;Kokerbin_Rock;woodland;sheltered;4.21;2293.48;672.43
Eucalyptus_loxophleba;Kokerbin_Rock;woodland;sheltered;4.2;2453.55;686.75
Kunzea_pulchella;Kokerbin_Rock;shrubland;sheltered;3.52;66.1;661.97
Kunzea_pulchella;Kokerbin_Rock;shrubland;sheltered;3.69;166.72;653.18
Kunzea_pulchella;Kokerbin_Rock;shrubland;exposed;3.69;78.25;841.27
Kunzea_pulchella;Kokerbin_Rock;shrubland;exposed;3.15;80.12;824.68
Kunzea_pulchella;Kokerbin_Rock;shrubland;exposed;3.79;61.37;801.98
Kunzea_pulchella;Kokerbin_Rock;shrubland;exposed;3.71;117.94;760.77
Kunzea_pulchella;Kokerbin_Rock;shrubland;exposed;4.25;120.62;820.81
Kunzea_pulchella;Kokerbin_Rock;shrubland;exposed;4.02;98.8;814.57
Kunzea_pulchella;Kokerbin_Rock;shrubland;exposed;3.48;124.48;752.1
Kunzea_pulchella;Kokerbin_Rock;shrubland;sheltered;4.51;70.31;876.4
Stypandra_glauca;Kokerbin_Rock;shrubland;sheltered;17.89;293.43;554.05
Stypandra_glauca;Kokerbin_Rock;shrubland;sheltered;15.26;192.23;807.69
Stypandra_glauca;Kokerbin_Rock;shrubland;sheltered;13.24;164.21;704.55
Stypandra_glauca;Kokerbin_Rock;shrubland;exposed;13.14;112.97;682.54
Stypandra_glauca;Kokerbin_Rock;shrubland;sheltered;7.84;125.41;761.9
Stypandra_glauca;Kokerbin_Rock;shrubland;exposed;14.86;205.13;589.74
Stypandra_glauca;Kokerbin_Rock;shrubland;exposed;14.06;213.74;644.07
Stypandra_glauca;Kokerbin_Rock;shrubland;exposed;14.91;402.54;741.76
Stypandra_glauca;Kokerbin_Rock;shrubland;sheltered;18.79;120.27;780.49
Stypandra_glauca;Kokerbin_Rock;shrubland;sheltered;16.27;237.52;688.68
Stypandra_glauca;Kokerbin_Rock;herbfield;sheltered;18.75;86.25;676.47
Acacia_lasiocalyx;Sandford_Rocks;woodland;sheltered;3.08;978.19;531.26
Acacia_lasiocalyx;Sandford_Rocks;woodland;sheltered;4.31;793.72;529.92
Acacia_lasiocalyx;Sandford_Rocks;woodland;sheltered;4.15;820.97;534.05
Acacia_lasiocalyx;Sandford_Rocks;woodland;sheltered;2.53;877.93;650.41
Acacia_lasiocalyx;Sandford_Rocks;woodland;sheltered;3.51;1060.67;522.08
Acacia_lasiocalyx;Sandford_Rocks;woodland;sheltered;2.95;1163.12;601.22
Acacia_lasiocalyx;Sandford_Rocks;woodland;sheltered;3.56;923.79;535.51
Acacia_lasiocalyx;Sandford_Rocks;woodland;sheltered;3.16;862.64;544.33
Acacia_lasiocalyx;Sandford_Rocks;woodland;sheltered;3.72;802.64;472.62
Acacia_lasiocalyx;Sandford_Rocks;woodland;sheltered;3.36;1305.03;563.23
Cheilanthes_austrotenuifolia;Sandford_Rocks;shrubland;exposed;3.27;139.39;914.16
Cheilanthes_austrotenuifolia;Sandford_Rocks;shrubland;sheltered;3.76;76.72;879.31
Cheilanthes_austrotenuifolia;Sandford_Rocks;shrubland;sheltered;4.98;74.64;872.09
Cheilanthes_austrotenuifolia;Sandford_Rocks;shrubland;sheltered;7.98;157.94;773.44
Cheilanthes_austrotenuifolia;Sandford_Rocks;shrubland;sheltered;5.04;144.25;871.95
Cheilanthes_austrotenuifolia;Sandford_Rocks;herbfield;exposed;6.6;46.18;760.87
Cheilanthes_austrotenuifolia;Sandford_Rocks;herbfield;exposed;5.23;180.07;893.51
Cheilanthes_austrotenuifolia;Sandford_Rocks;herbfield;sheltered;2.3;68.66;856.32
Cheilanthes_austrotenuifolia;Sandford_Rocks;herbfield;sheltered;6.06;127.21;813.95
Cheilanthes_austrotenuifolia;Sandford_Rocks;shrubland;exposed;4.54;82.57;858.49
Dodonaea_viscosa;Sandford_Rocks;shrubland;sheltered;3.41;89.34;891.16
Dodonaea_viscosa;Sandford_Rocks;shrubland;sheltered;3.98;82.01;710.34
Dodonaea_viscosa;Sandford_Rocks;shrubland;exposed;3.71;80.21;729.73
Dodonaea_viscosa;Sandford_Rocks;shrubland;exposed;3.98;77.27;659.86
Dodonaea_viscosa;Sandford_Rocks;shrubland;sheltered;4.16;69.1;747.75
Dodonaea_viscosa;Sandford_Rocks;shrubland;sheltered;4.09;54.02;578.95
Dodonaea_viscosa;Sandford_Rocks;shrubland;exposed;3.9;78.05;680.27
Dodonaea_viscosa;Sandford_Rocks;shrubland;sheltered;4.59;124.04;610.86
Dodonaea_viscosa;Sandford_Rocks;shrubland;exposed;4.31;104.31;555.05
Dodonaea_viscosa;Sandford_Rocks;shrubland;exposed;4.4;106.49;640.21
Kunzea_pulchella;Sandford_Rocks;shrubland;exposed;4.87;79.91;854.17
Kunzea_pulchella;Sandford_Rocks;shrubland;exposed;3.56;91.14;825.81
Kunzea_pulchella;Sandford_Rocks;shrubland;sheltered;3.23;64.69;900.9
Kunzea_pulchella;Sandford_Rocks;shrubland;sheltered;4.39;51.81;867.65
Kunzea_pulchella;Sandford_Rocks;shrubland;exposed;5.49;88.98;757.01
Kunzea_pulchella;Sandford_Rocks;shrubland;exposed;3.76;94.11;811.69
Kunzea_pulchella;Sandford_Rocks;shrubland;exposed;3.61;98.23;877.42
Kunzea_pulchella;Sandford_Rocks;shrubland;exposed;4.36;54.13;794.87
Kunzea_pulchella;Sandford_Rocks;shrubland;exposed;2.8;71.03;888.11
Kunzea_pulchella;Sandford_Rocks;shrubland;sheltered;3.6;84.3;835.71
Santalum_acuminatum;Sandford_Rocks;woodland;sheltered;2.16;616.7;569.1
Santalum_acuminatum;Sandford_Rocks;woodland;sheltered;1.91;469.05;859.15
Santalum_acuminatum;Sandford_Rocks;woodland;sheltered;2.22;570.34;512.16
Santalum_acuminatum;Sandford_Rocks;woodland;sheltered;;;
Santalum_acuminatum;Sandford_Rocks;woodland;sheltered;2.12;491.16;473
Santalum_acuminatum;Sandford_Rocks;woodland;sheltered;3.07;565.34;583.39
Santalum_acuminatum;Sandford_Rocks;woodland;sheltered;2.26;475.73;605.99
Santalum_acuminatum;Sandford_Rocks;woodland;sheltered;2.53;533.92;647.42
Santalum_acuminatum;Sandford_Rocks;woodland;sheltered;2.25;348.48;557.87
Santalum_acuminatum;Sandford_Rocks;woodland;sheltered;2.03;818.36;644.69
Stypandra_glauca;Sandford_Rocks;shrubland;sheltered;9.56;107.13;700
Stypandra_glauca;Sandford_Rocks;shrubland;exposed;11.51;434.91;790.79
Stypandra_glauca;Sandford_Rocks;shrubland;sheltered;11.12;73.36;846.15
Stypandra_glauca;Sandford_Rocks;shrubland;sheltered;14.09;236.64;641.22
Stypandra_glauca;Sandford_Rocks;shrubland;sheltered;10.02;92.14;766.67
Stypandra_glauca;Sandford_Rocks;shrubland;sheltered;13.48;299.2;770.83
Stypandra_glauca;Sandford_Rocks;shrubland;exposed;16.68;273.58;635.66
Stypandra_glauca;Sandford_Rocks;herbfield;exposed;9.69;71.69;711.54
Stypandra_glauca;Sandford_Rocks;shrubland;exposed;7.31;68.73;671.43
Stypandra_glauca;Sandford_Rocks;herbfield;sheltered;7.74;162.64;734.27
Eucalyptus_salmonophloia;Sandford_Rocks;woodland;sheltered;3.391934875;1437.5;715.64
Eucalyptus_salmonophloia;Sandford_Rocks;woodland;sheltered;3.731774246;2277.88;695.22
Eucalyptus_salmonophloia;Sandford_Rocks;woodland;sheltered;3.22530777;1278.51;737.35
Eucalyptus_salmonophloia;Sandford_Rocks;woodland;sheltered;3.185226604;2164.68;750.77
Eucalyptus_salmonophloia;Sandford_Rocks;woodland;sheltered;3.627773527;948.3;669.57
Santalum_acuminatum;Sandford_Rocks;woodland;sheltered;2.046900093;438.45;530.72
Santalum_acuminatum;Sandford_Rocks;woodland;sheltered;2.356875;520.4;470.39
Santalum_acuminatum;Sandford_Rocks;woodland;sheltered;2.065860625;542.5;575.37
Santalum_acuminatum;Sandford_Rocks;woodland;sheltered;2.940693069;1009.83;418.78
Santalum_acuminatum;Sandford_Rocks;woodland;sheltered;2.510366017;747.59;514.69
Santalum_acuminatum;Sandford_Rocks;woodland;sheltered;2.007447581;497.85;454.88
Santalum_acuminatum;Sandford_Rocks;woodland;sheltered;2.052304104;440.01;523.95
Santalum_acuminatum;Sandford_Rocks;woodland;sheltered;2.123018359;393.18;717.83
Santalum_acuminatum;Sandford_Rocks;woodland;sheltered;2.71239645;366.72;555.46
Santalum_acuminatum;Sandford_Rocks;woodland;sheltered;2.18703861;566.44;404.43
Santalum_spicatum;Sandford_Rocks;shrubland;sheltered;2.913523585;617.67;715.25
Santalum_spicatum;Sandford_Rocks;shrubland;sheltered;2.480563041;515.46;841.98
Santalum_spicatum;Sandford_Rocks;shrubland;sheltered;2.199732247;377.91;601.96
Santalum_spicatum;Sandford_Rocks;shrubland;sheltered;2.146818182;623.44;449.12
Santalum_spicatum;Sandford_Rocks;shrubland;sheltered;2.493291485;456.77;658.52
Santalum_spicatum;Sandford_Rocks;shrubland;sheltered;2.288921303;337.39;690.72
Santalum_spicatum;Sandford_Rocks;shrubland;sheltered;2.035475336;453.91;699.5
Santalum_spicatum;Sandford_Rocks;shrubland;sheltered;3.036504024;603.66;637.18
Santalum_spicatum;Sandford_Rocks;shrubland;sheltered;2.661820298;571.76;649.73
Santalum_spicatum;Sandford_Rocks;shrubland;sheltered;2.467457542;493.99;707.92
Santalum_spicatum;Sandford_Rocks;shrubland;sheltered;2.554048951;365.23;690.15
Santalum_spicatum;Sandford_Rocks;shrubland;sheltered;3.075152;384.39;698.32
Santalum_spicatum;Sandford_Rocks;shrubland;sheltered;2.926918679;460.7;701.43
